role,layer,course,topic-id,topic-number,topic-name,md-path,src-path
lesson,30,MF3,675,1.2.2,Finding the Sum of an Arithmetic Series,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.2. Arithmetic Series/Lessons/1.2.2. Finding the Sum of an Arithmetic Series.md,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.2. Arithmetic Series/Source/1.2.2. Finding the Sum of an Arithmetic Series
lesson,31,MF3,690,1.3.4,Sums of Finite Geometric Series Given in Sigma Notation,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.3. Finite Geometric Series/Lessons/1.3.4. Sums of Finite Geometric Series Given in Sigma Notation.md,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.3. Finite Geometric Series/Source/1.3.4. Sums of Finite Geometric Series Given in Sigma Notation
lesson,32,MF3,981,1.4.3,Infinite Series and Partial Sums,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.3. Infinite Series and Partial Sums.md,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Source/1.4.3. Infinite Series and Partial Sums
lesson,33,MF3,982,1.4.4,Convergent and Divergent Infinite Series,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.4. Convergent and Divergent Infinite Series.md,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Source/1.4.4. Convergent and Divergent Infinite Series
lesson,33,MF3,691,1.4.7,Finding the Sum of an Infinite Geometric Series,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.7. Finding the Sum of an Infinite Geometric Series.md,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Source/1.4.7. Finding the Sum of an Infinite Geometric Series
lesson,34,MF3,1020,1.4.9,Sums of Infinite Geometric Series Given in Sigma Notation,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.9. Sums of Infinite Geometric Series Given in Sigma Notation.md,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Source/1.4.9. Sums of Infinite Geometric Series Given in Sigma Notation
lesson,35,MF3,4052,1.4.6,Further Properties of Infinite Series,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.6. Further Properties of Infinite Series.md,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Source/1.4.6. Further Properties of Infinite Series
lesson,36,MF3,1004,2.1.14,Solving Inequalities Involving Geometric Sequences,vault/MA/Mathematical-Foundations/MF3/2. Inequalities/2.1. Single-Variable Inequalities/Lessons/2.1.14. Solving Inequalities Involving Geometric Sequences.md,vault/MA/Mathematical-Foundations/MF3/2. Inequalities/2.1. Single-Variable Inequalities/Source/2.1.14. Solving Inequalities Involving Geometric Sequences
lesson,44,MF3,684,1.4.10,Convergence of Geometric Series,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.10. Convergence of Geometric Series.md,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Source/1.4.10. Convergence of Geometric Series
prerequisite,13,MF1,40,5.3.3,Solving One-Step Multiplication and Division Equations,vault/MA/Mathematical-Foundations/MF1/5. Equations & Inequalities/5.3. Solving One-Step Linear Equations/Lessons/5.3.3. Solving One-Step Multiplication and Division Equations.md,vault/MA/Mathematical-Foundations/MF1/5. Equations & Inequalities/5.3. Solving One-Step Linear Equations/Source/5.3.3. Solving One-Step Multiplication and Division Equations
prerequisite,18,MF1,2558,3.3.8,"Natural Numbers, Integers, and Rational Numbers","vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.3. Number Theory/Lessons/3.3.8. Natural Numbers, Integers, and Rational Numbers.md","vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.3. Number Theory/Source/3.3.8. Natural Numbers, Integers, and Rational Numbers"
prerequisite,19,MF1,2564,3.3.9,Writing Repeating Decimals as Fractions,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.3. Number Theory/Lessons/3.3.9. Writing Repeating Decimals as Fractions.md,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.3. Number Theory/Source/3.3.9. Writing Repeating Decimals as Fractions
prerequisite,25,MF1,165,8.1.11,Piecewise Functions,vault/MA/Mathematical-Foundations/MF1/8. Functions/8.1. Functions/Lessons/8.1.11. Piecewise Functions.md,vault/MA/Mathematical-Foundations/MF1/8. Functions/8.1. Functions/Source/8.1.11. Piecewise Functions
prerequisite,27,MF2,680,7.3.3,The Nth Term of a Geometric Sequence,vault/MA/Mathematical-Foundations/MF2/7. Sequences/7.3. Geometric Sequences/Lessons/7.3.3. The Nth Term of a Geometric Sequence.md,vault/MA/Mathematical-Foundations/MF2/7. Sequences/7.3. Geometric Sequences/Source/7.3.3. The Nth Term of a Geometric Sequence
