role,layer,course,topic-id,topic-number,topic-name,md-path,src-path,local-md-path,local-src-path,assignment
lesson,1,MTH-212,212-M1-001,M1.01,Relating Tangential Speed to Angular Speed,212/M1/2026-06-28-HW-1/Lessons/Problem-8.md,,212/M1/2026-06-28-HW-1/Lessons/Problem-8.md,,M1/2026-06-28-HW-1
lesson,2,MTH-212,212-M1-002,M1.02,Tangential Speed From Angular Velocity,212/M1/2026-06-29-M1-3/Lessons/Problem-2.md,,212/M1/2026-06-29-M1-3/Lessons/Problem-2.md,,M1/2026-06-29-M1-3
lesson,3,MTH-212,212-M1-003,M1.03,Ranking Radial Accelerations,212/M1/2026-06-25-M1-2/Lessons/Problem-6.md,,212/M1/2026-06-25-M1-2/Lessons/Problem-6.md,,M1/2026-06-25-M1-2
lesson,4,MTH-212,212-M1-004,M1.04,Checking the Magnitude of Centripetal Acceleration,212/M1/2026-06-28-HW-1/Lessons/Problem-9.md,,212/M1/2026-06-28-HW-1/Lessons/Problem-9.md,,M1/2026-06-28-HW-1
lesson,5,MTH-212,212-M1-005,M1.05,Recognizing Uniform Circular Motion,212/M1/2026-07-03-HW-2/Lessons/Problem-1.md,,212/M1/2026-07-03-HW-2/Lessons/Problem-1.md,,M1/2026-07-03-HW-2
lesson,6,MTH-212,212-M1-006,M1.06,Recognizing Tangential Velocity in Circular Motion,212/M1/2026-06-28-HW-1/Lessons/Problem-6.md,,212/M1/2026-06-28-HW-1/Lessons/Problem-6.md,,M1/2026-06-28-HW-1
lesson,7,MTH-212,212-M1-007,M1.07,Comparing Centripetal Acceleration with the Radius Vector,212/M1/2026-06-28-HW-1/Lessons/Problem-7.md,,212/M1/2026-06-28-HW-1/Lessons/Problem-7.md,,M1/2026-06-28-HW-1
lesson,8,MTH-212,212-M1-008,M1.08,Choosing the Acceleration Direction When Circular Motion Speeds Up,212/M1/2026-06-28-HW-1/Lessons/Problem-13.md,,212/M1/2026-06-28-HW-1/Lessons/Problem-13.md,,M1/2026-06-28-HW-1
lesson,9,MTH-212,212-M1-009,M1.09,Choosing the Net Force Direction for Speeding-Up Circular Motion,212/M1/2026-07-02-M1-5/Lessons/Problem-1.md,,212/M1/2026-07-02-M1-5/Lessons/Problem-1.md,,M1/2026-07-02-M1-5
lesson,10,MTH-212,212-M1-010,M1.10,Reading Net Force Arrows for Circular Motion,212/M1/2026-07-05-PQ-1/Lessons/Problem-2.md,,212/M1/2026-07-05-PQ-1/Lessons/Problem-2.md,,M1/2026-07-05-PQ-1
lesson,11,MTH-212,212-M1-011,M1.11,Finding the Net-Force Direction in Circular Motion,212/M1/2026-07-03-HW-2/Lessons/Problem-4.md,,212/M1/2026-07-03-HW-2/Lessons/Problem-4.md,,M1/2026-07-03-HW-2
lesson,12,MTH-212,212-M1-012,M1.12,Free-Body Diagrams for Level Circular Motion,212/M1/2026-06-30-M1-4/Lessons/Problem-2.md,,212/M1/2026-06-30-M1-4/Lessons/Problem-2.md,,M1/2026-06-30-M1-4
lesson,13,MTH-212,212-M1-013,M1.13,Finding Static Friction on a Flat Curve,212/M1/2026-06-30-M1-4/Lessons/Problem-3.md,,212/M1/2026-06-30-M1-4/Lessons/Problem-3.md,,M1/2026-06-30-M1-4
lesson,14,MTH-212,212-M1-014,M1.14,Threshold Angular Speed Before Slipping,212/M1/2026-06-29-M1-3/Lessons/Problem-6.md,,212/M1/2026-06-29-M1-3/Lessons/Problem-6.md,,M1/2026-06-29-M1-3
lesson,15,MTH-212,212-M1-015,M1.15,Finding the Minimum Period Before a Coin Slips,212/M1/2026-07-05-PQ-1/Lessons/Problem-4.md,,212/M1/2026-07-05-PQ-1/Lessons/Problem-4.md,,M1/2026-07-05-PQ-1
